;Studying;;Fitness;;;Reading;;Music;
;G;L;G;L;;G;L;G;L
;;Finished Task(s for the day);;Diet;Exercise;;One Chapter;;Practice
19.04.2022;1;0.5;2;1;1;1;1;1;1
20.04.2022;1;1;1;1;0;1;1;1;1
21.04.2022;1;0;1;1;0;1;1;1;0
22.04.2022;1;0;2;0;0;1;0;1;0
23.04.2022;1;;2;;;1;1;1;1
24.04.2022;0;;0;;;0;;0;
25.04.2022;1;;2;;;1;;1;
26.04.2022;1;;1;;;1;;1;
27.04.2022;1;;1;;;1;;1;
28.04.2022;1;;2;;;1;;1;
29.04.2022;1;;1;;;1;;1;
30.04.2022;1;;1;;;1;;1;
01.05.2022;0;;2;;;1;;1;
02.05.2022;1;;1;;;1;;1;
03.05.2022;1;;1;;;1;;1;
04.05.2022;1;;2;;;1;;1;
05.05.2022;1;;2;;;1;;1;
06.05.2022;1;;2;;;1;;1;
07.05.2022;1;;2;;;1;;1;
08.05.2022;0;;1;;;1;;1;
09.05.2022;1;;2;;;1;;1;
10.05.2022;1;;2;;;1;;1;
11.05.2022;1;;2;;;1;;1;
12.05.2022;1;;2;;;1;;1;
13.05.2022;1;;2;;;1;;1;
14.05.2022;1;;2;;;1;;1;
15.05.2022;0;;2;;;1;;1;
16.05.2022;1;;2;;;1;;1;
17.05.2022;1;;2;;;1;;1;
18.05.2022;1;;2;;;1;;1;
19.05.2022;1;;2;;;1;;1;
;;;;;;;;;
Accumulative Points;;;;;;;;;
;Total;;;;;;;;
;G;L;;;;;;;
19.04.2022;5;4;;;;;;;
20.04.2022;9;8;;;;;;;
21.04.2022;13;10;;;;;;;
22.04.2022;18;10;;;;;;;
23.04.2022;23;12;;;;;;;
24.04.2022;23;12;;;;;;;
25.04.2022;28;12;;;;;;;
26.04.2022;32;12;;;;;;;
27.04.2022;36;12;;;;;;;
28.04.2022;41;12;;;;;;;
29.04.2022;45;12;;;;;;;
30.04.2022;49;12;;;;;;;
01.05.2022;53;12;;;;;;;
02.05.2022;57;12;;;;;;;
03.05.2022;61;12;;;;;;;
04.05.2022;66;12;;;;;;;
05.05.2022;71;12;;;;;;;
06.05.2022;76;12;;;;;;;
07.05.2022;81;12;;;;;;;
08.05.2022;84;12;;;;;;;
09.05.2022;89;12;;;;;;;
10.05.2022;94;12;;;;;;;
11.05.2022;99;12;;;;;;;
12.05.2022;104;12;;;;;;;
13.05.2022;109;12;;;;;;;
14.05.2022;114;12;;;;;;;
15.05.2022;118;12;;;;;;;
16.05.2022;123;12;;;;;;;
17.05.2022;128;12;;;;;;;
18.05.2022;133;12;;;;;;;
19.05.2022;138;12;;;;;;;
